ds,key,topology,morph,L,kstar_true,n_hill,Dratio,slow_idx,sigma,frac_strict,frac_loose,frac_loose_only,kstar_cv
three_gene_train,sample_0021,cross_repress,spots,107.12939919906569,0.3519025787965616,3.0,35.76371855346136,0,0.1,0.88,0.88,0.0,0.057197828056211694
three_gene_train,sample_0021,cross_repress,spots,107.12939919906569,0.3519025787965616,3.0,35.76371855346136,0,0.2,0.7625,0.7625,0.0,0.10942169667121628
three_gene_train,sample_0022,cross_repress,spots,149.81087212190351,0.25164469914040116,2.0,158.06588806745424,0,0.01,1.0,1.0,0.0,0.014840826178983975
three_gene_train,sample_0022,cross_repress,spots,149.81087212190351,0.25164469914040116,2.0,158.06588806745424,0,0.048,0.9725,0.9725,0.0,0.032850776181183476
three_gene_train,sample_0022,cross_repress,spots,149.81087212190351,0.25164469914040116,2.0,158.06588806745424,0,0.1,0.85,0.85,0.0,0.05226296786919599
three_gene_train,sample_0022,cross_repress,spots,149.81087212190351,0.25164469914040116,2.0,158.06588806745424,0,0.2,0.6975,0.6975,0.0,0.0982232882234958
three_gene_train,sample_0023,substrate_depl,labyrinth,51.439501881466796,0.7328825214899715,4.0,34.319112515794245,0,0.01,0.9975,0.9975,0.0,0.009673885366829896
three_gene_train,sample_0023,substrate_depl,labyrinth,51.439501881466796,0.7328825214899715,4.0,34.319112515794245,0,0.048,0.6925,0.6925,0.0,0.029174871765530783
three_gene_train,sample_0023,substrate_depl,labyrinth,51.439501881466796,0.7328825214899715,4.0,34.319112515794245,0,0.1,0.6175,0.6175,0.0,0.0580710533049564
three_gene_train,sample_0023,substrate_depl,labyrinth,51.439501881466796,0.7328825214899715,4.0,34.319112515794245,0,0.2,0.49,0.6075,0.1175,0.11441758156926086
three_gene_train,sample_0024,relay_chain,labyrinth,178.21138366519548,0.21154154727793698,2.0,164.62828171101597,0,0.01,1.0,1.0,0.0,0.014031918232343218
three_gene_train,sample_0024,relay_chain,labyrinth,178.21138366519548,0.21154154727793698,2.0,164.62828171101597,0,0.048,1.0,1.0,0.0,0.04010285886819077
three_gene_train,sample_0024,relay_chain,labyrinth,178.21138366519548,0.21154154727793698,2.0,164.62828171101597,0,0.1,0.9925,1.0,0.0075,0.058079604570324066
three_gene_train,sample_0024,relay_chain,labyrinth,178.21138366519548,0.21154154727793698,2.0,164.62828171101597,0,0.2,0.8625,0.9975,0.135,0.10239312955670608
three_gene_train,sample_0025,substrate_depl,spots,129.2181303597923,0.2917478510028654,3.0,41.55618304835597,0,0.01,1.0,1.0,0.0,0.0027643569857059833
three_gene_train,sample_0025,substrate_depl,spots,129.2181303597923,0.2917478510028654,3.0,41.55618304835597,0,0.048,1.0,1.0,0.0,0.03121247213677337
three_gene_train,sample_0025,substrate_depl,spots,129.2181303597923,0.2917478510028654,3.0,41.55618304835597,0,0.1,1.0,1.0,0.0,0.057200086818201254
three_gene_train,sample_0025,substrate_depl,spots,129.2181303597923,0.2917478510028654,3.0,41.55618304835597,0,0.2,0.88,0.975,0.095,0.10718651698077175
three_gene_train,sample_0026,double_inhibitor,spots,133.81668243034602,0.28172206303724934,2.0,196.85752286668787,0,0.01,1.0,1.0,0.0,0.01243183501776737
three_gene_train,sample_0026,double_inhibitor,spots,133.81668243034602,0.28172206303724934,2.0,196.85752286668787,0,0.048,1.0,1.0,0.0,0.032549693258445096
three_gene_train,sample_0026,double_inhibitor,spots,133.81668243034602,0.28172206303724934,2.0,196.85752286668787,0,0.1,0.98,0.98,0.0,0.05903765791132663
three_gene_train,sample_0026,double_inhibitor,spots,133.81668243034602,0.28172206303724934,2.0,196.85752286668787,0,0.2,0.8025,0.81,0.0075,0.10885343395714625
three_gene_train,sample_0027,relay_chain,spots,110.27104750646653,0.3418767908309456,3.0,60.95055153657774,0,0.01,1.0,1.0,0.0,0.009004059847103018
three_gene_train,sample_0027,relay_chain,spots,110.27104750646653,0.3418767908309456,3.0,60.95055153657774,0,0.048,1.0,1.0,0.0,0.031258364753525086
three_gene_train,sample_0027,relay_chain,spots,110.27104750646653,0.3418767908309456,3.0,60.95055153657774,0,0.1,0.935,1.0,0.065,0.057967428287065664
three_gene_train,sample_0027,relay_chain,spots,110.27104750646653,0.3418767908309456,3.0,60.95055153657774,0,0.2,0.76,0.9775,0.2175,0.10317962307597277
three_gene_train,sample_0028,selfinhib,labyrinth,70.81417271219,0.5323667621776504,4.0,225.92176368866143,0,0.01,1.0,1.0,0.0,0.005368607776117044
three_gene_train,sample_0028,selfinhib,labyrinth,70.81417271219,0.5323667621776504,4.0,225.92176368866143,0,0.048,1.0,1.0,0.0,0.026509003264505913
three_gene_train,sample_0028,selfinhib,labyrinth,70.81417271219,0.5323667621776504,4.0,225.92176368866143,0,0.1,0.945,0.945,0.0,0.05322785630067558
three_gene_train,sample_0028,selfinhib,labyrinth,70.81417271219,0.5323667621776504,4.0,225.92176368866143,0,0.2,0.7575,0.7575,0.0,0.09780883912532742
three_gene_train,sample_0029,relay_chain,labyrinth,187.07773511970953,0.20151575931232094,2.0,179.47082075032978,0,0.01,1.0,1.0,0.0,2.865492600406991e-16
three_gene_train,sample_0029,relay_chain,labyrinth,187.07773511970953,0.20151575931232094,2.0,179.47082075032978,0,0.048,1.0,1.0,0.0,0.03144982148318854
three_gene_train,sample_0029,relay_chain,labyrinth,187.07773511970953,0.20151575931232094,2.0,179.47082075032978,0,0.1,1.0,1.0,0.0,0.05451533927729527
