ds,key,topology,morph,L,kstar_true,n_hill,Dratio,slow_idx,base_rob_10,imm_slow_ok,imm_slow_rob,imm_mid_ok,imm_mid_rob,imm_fast_ok,imm_fast_rob
three_gene_train,sample_0062,substrate_depl,spots,58.66192582310031,0.642650429799427,3.0,130.23321974048923,0,0.3,True,0.585,False,0.0,True,0.3
three_gene_train,sample_0063,selfinhib,labyrinth,67.02730119379729,0.5624441260744987,2.0,210.7471618560644,0,0.93,True,1.0,False,0.0,True,0.93
three_gene_train,sample_0064,substrate_depl,labyrinth,50.74530916298931,0.7429083094555875,3.0,80.56596506460168,0,0.695,True,1.0,False,0.0,True,0.7025
three_gene_train,sample_0065,double_inhibitor,spots,83.37551667406436,0.4521604584527221,3.0,119.2312778839934,0,0.7575,True,1.0,True,0.7575,False,0.0
three_gene_train,sample_0066,cross_repress,spots,149.81087212190351,0.25164469914040116,3.0,133.05315369939453,0,0.995,True,0.995,True,0.995,False,0.0
three_gene_train,sample_0067,substrate_depl,spots,149.81087212190351,0.25164469914040116,3.0,120.77897589658056,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0068,selfinhib,spots,117.14157280940597,0.3218252148997135,3.0,239.19144021860834,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0069,substrate_depl,labyrinth,64.71998284839984,0.5824957020057308,4.0,108.94576676796518,0,0.985,True,1.0,True,0.985,False,0.0
three_gene_train,sample_0070,cross_repress,labyrinth,96.16979777234158,0.39200573065902583,3.0,226.3160401837384,0,0.8675,True,0.8675,False,0.0,True,0.8675
three_gene_train,sample_0071,double_inhibitor,labyrinth,83.37551667406436,0.4521604584527221,4.0,105.7550024110495,0,0.9,True,0.9,True,0.9,False,0.0
three_gene_train,sample_0072,double_inhibitor,spots,78.17535269091718,0.48223782234957024,4.0,212.37741637911031,0,1.0,True,1.0,True,0.95,False,0.0
three_gene_train,sample_0073,substrate_depl,labyrinth,117.14157280940597,0.3218252148997135,3.0,192.22949849725634,0,0.96,True,0.96,True,0.96,False,0.0
three_gene_train,sample_0074,cross_repress,spots,117.14157280940597,0.3218252148997135,3.0,202.52277806656733,0,0.815,True,1.0,True,0.815,False,0.0
three_gene_train,sample_0075,selfinhib,labyrinth,75.05456410609332,0.5022893982808023,4.0,87.36464171363765,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0076,double_inhibitor,spots,117.14157280940597,0.3218252148997135,4.0,211.83954175603637,0,0.8925,True,0.8925,False,0.0,True,0.8925
three_gene_train,sample_0077,selfinhib,labyrinth,107.12939919906569,0.3519025787965616,4.0,41.04341867647587,0,0.9675,True,0.9675,True,0.9675,False,0.0
three_gene_train,sample_0078,selfinhib,spots,162.781654829313,0.23159312320916908,3.0,229.9002647279373,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0079,double_inhibitor,spots,107.12939919906569,0.3519025787965616,3.0,97.97711581350843,0,1.0,True,1.0,False,0.0,True,1.0
three_gene_train,sample_0080,cross_repress,labyrinth,149.81087212190351,0.25164469914040116,4.0,249.32369702308353,0,0.975,True,0.975,True,0.975,False,0.0
three_gene_train,sample_0081,selfinhib,labyrinth,87.2444732519532,0.43210888252149,3.0,144.31069566084696,0,0.965,True,0.965,True,0.965,False,0.0
three_gene_train,sample_0082,double_inhibitor,spots,70.81417271219,0.5323667621776504,2.0,47.123153096576296,0,0.96,True,0.96,True,0.935,False,0.0
three_gene_train,sample_0083,double_inhibitor,spots,61.542228905429916,0.6125730659025789,2.0,120.8626093636361,0,1.0,True,1.0,True,1.0,False,0.0
