ds,key,morph,topology,mean_from_DC,frame_mean,var_from_power,frame_var,cv,x_star_ch,sigma_max,k_star
three_gene_train,sample_0019,labyrinth,double_inhibitor,0.47744578,0.4774458,0.09647526,0.096475266,0.6505548357963562,0.33875149122184184,0.819023035925369,0.42208309455587395
three_gene_train,sample_0020,labyrinth,selfinhib,0.11918843,0.11918841,0.0006639932,0.0006639932,0.21619606018066406,0.11151708502688393,0.08832789354215667,0.37195415472779375
three_gene_train,sample_0021,spots,cross_repress,0.80076504,0.80076516,0.07849346,0.07849345,0.3498739004135132,0.8469561740282834,0.05350291934468743,0.3519025787965616
three_gene_train,sample_0022,spots,cross_repress,0.08818843,0.08818843,9.121158e-05,9.121159e-05,0.108296237885952,0.08840202961547501,0.018533839843936306,0.25164469914040116
three_gene_train,sample_0023,labyrinth,substrate_depl,0.7959505,0.7959505,0.032854885,0.03285489,0.22772669792175293,0.7870682861946787,0.04948219887008598,0.7328825214899715
three_gene_train,sample_0024,labyrinth,relay_chain,0.30681008,0.30681008,0.019862728,0.019862728,0.45935648679733276,0.22592305091944312,0.09701674062470644,0.21154154727793698
three_gene_train,sample_0025,spots,substrate_depl,0.18297465,0.18297465,0.014709853,0.014709854,0.6628469228744507,0.18787586504993248,0.14069088822491632,0.2917478510028654
three_gene_train,sample_0026,spots,double_inhibitor,0.10369415,0.10369415,0.010754038,0.010754038,1.0000725984573364,0.07568497712985812,0.049417190751014056,0.28172206303724934
three_gene_train,sample_0027,spots,relay_chain,0.17774853,0.17774852,0.008046765,0.008046765,0.5046667456626892,0.1524857748834682,0.1468290045155367,0.3418767908309456
three_gene_train,sample_0028,labyrinth,selfinhib,0.30330488,0.30330488,0.0252246,0.025224602,0.5236399173736572,0.3745363040233903,0.15308599194795391,0.5323667621776504
three_gene_train,sample_0029,labyrinth,relay_chain,0.32468832,0.32468832,0.037324954,0.037324954,0.5950219631195068,0.23316982070048342,0.09745260805648925,0.20151575931232094
three_gene_train,sample_0030,labyrinth,substrate_depl,0.51784134,0.51784134,0.22003141,0.22003141,0.9058277606964111,0.7923441320772351,0.6190549037675979,0.5323667621776504
three_gene_train,sample_0031,stripes,relay_chain,0.9160463,0.9160464,0.22867556,0.22867557,0.5220263600349426,1.1141215504537454,0.0889334410754854,0.4722120343839542
three_gene_train,sample_0032,spots,substrate_depl,0.04081818,0.04081818,0.00084924186,0.00084924174,0.7139405012130737,0.04749521915164133,0.7011476004417077,0.5323667621776504
three_gene_train,sample_0033,labyrinth,relay_chain,0.38875416,0.3887542,0.042143393,0.042143393,0.5280677676200867,0.4222709097646205,0.03415239030699444,0.24161891117478512
three_gene_train,sample_0034,spots,substrate_depl,0.12736829,0.12736829,0.028331975,0.028331975,1.3215302228927612,0.36807634636764,0.14484814294945036,0.3218252148997135
three_gene_train,sample_0035,stripes,cross_repress,0.31181437,0.31181437,0.011663289,0.011663289,0.3463493585586548,0.2913698786616053,0.1363619452467268,0.42208309455587395
three_gene_train,sample_0036,spots,double_inhibitor,0.30733088,0.30733085,0.114215,0.114215,1.0996524095535278,0.38812023826427516,0.6628624922280559,0.3218252148997135
three_gene_train,sample_0037,labyrinth,substrate_depl,0.6848352,0.6848352,0.2966362,0.29663616,0.7952908277511597,0.9397895619668712,0.10096373779178869,0.39200573065902583
three_gene_train,sample_0038,labyrinth,selfinhib,0.3857146,0.3857146,0.038432337,0.038432337,0.5082557797431946,0.410118501409298,0.14331007937483045,0.28172206303724934
three_gene_train,sample_0039,spots,selfinhib,0.31757718,0.31757715,0.13168295,0.13168293,1.1426559686660767,0.5792036978370088,0.4353029700450867,0.3418767908309456
three_gene_train,sample_0040,labyrinth,relay_chain,0.19726968,0.19726966,0.0047261207,0.004726121,0.34849146008491516,0.15224379682054062,0.3627938839908742,0.37195415472779375
three_gene_train,sample_0041,labyrinth,cross_repress,0.96414554,0.96414566,0.3082282,0.3082282,0.575829029083252,0.935126270650711,0.9217428630537867,0.4922636103151863
three_gene_train,sample_0042,labyrinth,double_inhibitor,0.4818338,0.4818338,0.052516755,0.05251675,0.47561076283454895,0.43638370645259295,0.09484802839100581,0.27169627507163324
three_gene_train,sample_0043,labyrinth,substrate_depl,0.11851631,0.11851631,0.0041873795,0.004187379,0.5460004806518555,0.14505098087682966,0.4981984166840773,0.6727277936962751
three_gene_train,sample_0044,spots,substrate_depl,0.05073093,0.05073093,0.0014389829,0.0014389828,0.747747540473938,0.07091077213435523,1.0980597445230007,0.40203151862464187
three_gene_train,sample_0045,spots,substrate_depl,0.062196735,0.062196746,0.0018993883,0.0018993885,0.7007114887237549,0.07434777369317386,0.31403471021364204,0.4421346704871061
three_gene_train,sample_0046,labyrinth,cross_repress,0.79926,0.79926,0.33070654,0.33070654,0.719504177570343,1.0911401409540977,0.030723717557822994,0.33185100286532954
three_gene_train,sample_0047,labyrinth,selfinhib,0.21342234,0.21342236,0.043716643,0.04371664,0.9796782732009888,0.2353868593908882,1.4131626643744717,0.40203151862464187
three_gene_train,sample_0048,spots,selfinhib,0.04434842,0.04434842,0.0007395027,0.0007395027,0.6131853461265564,0.03842334768602459,0.06562779843890854,0.3017736389684814
three_gene_train,sample_0049,spots,cross_repress,0.14428821,0.14428823,0.02330817,0.023308167,1.058091402053833,0.12124917625900913,0.5094873348046338,0.3819799426934098
three_gene_train,sample_0050,spots,relay_chain,0.22916315,0.22916317,0.010071931,0.010071931,0.437936931848526,0.25224012654851646,0.12261918997441539,0.3418767908309456
three_gene_train,sample_0051,labyrinth,substrate_depl,0.34236485,0.34236485,0.022725746,0.022725748,0.44032156467437744,0.309864654240986,1.6519226179617874,0.8231146131805158
three_gene_train,sample_0052,spots,relay_chain,0.19425397,0.19425398,0.014925845,0.014925848,0.6289260387420654,0.1951768981241861,0.17427268690251818,0.2917478510028654
three_gene_train,sample_0053,labyrinth,selfinhib,0.05431638,0.054316383,0.00079927087,0.00079927087,0.5204945206642151,0.060475878094420246,0.151548019753383,0.3418767908309456
three_gene_train,sample_0054,spots,selfinhib,0.06742362,0.06742362,0.0030360902,0.0030360902,0.8172318339347839,0.06096195073183407,0.29231666134819856,0.21154154727793698
three_gene_train,sample_0055,spots,cross_repress,0.096901886,0.09690188,0.0010641714,0.0010641714,0.33664610981941223,0.1136789182513816,0.4270202239515335,0.37195415472779375
three_gene_train,sample_0056,spots,double_inhibitor,0.44974828,0.44974825,0.24384138,0.24384138,1.0979541540145874,0.7985052473938319,0.7544030912742086,0.5925214899713468
three_gene_train,sample_0057,spots,double_inhibitor,0.086563796,0.086563796,0.0013012864,0.0013012865,0.41672560572624207,0.08876282192839034,0.10740777889909126,0.31179942693409746
three_gene_train,sample_0058,labyrinth,selfinhib,0.47432253,0.47432253,0.16469468,0.16469468,0.8555906414985657,0.6933851432376035,0.04003699997442284,0.36192836676217766
three_gene_train,sample_0059,spots,cross_repress,0.06303526,0.063035265,0.0007481177,0.0007481177,0.4339117407798767,0.0788245807794914,0.19752496696667343,0.6727277936962751
three_gene_train,sample_0060,spots,substrate_depl,0.2781306,0.2781306,0.11068316,0.11068314,1.1961674690246582,0.6053775572579178,0.22453608735347397,0.43210888252149
three_gene_train,sample_0061,labyrinth,substrate_depl,0.07250531,0.07250531,0.0018463791,0.0018463793,0.5926395654678345,0.09628972313933545,0.0974243994698405,0.42208309455587395
three_gene_train,sample_0062,spots,substrate_depl,0.09598093,0.09598093,0.00022755949,0.00022755949,0.15716741979122162,0.09766416773342476,0.03371897190308104,0.642650429799427
three_gene_train,sample_0063,labyrinth,selfinhib,0.22951011,0.2295101,0.01212449,0.01212449,0.47976651787757874,0.24917830816449524,0.1290027612983538,0.5624441260744987
three_gene_train,sample_0064,labyrinth,substrate_depl,0.09068712,0.09068712,0.0019503584,0.0019503584,0.48698052763938904,0.1101598814274008,0.08658166246389953,0.7429083094555875
three_gene_train,sample_0065,spots,double_inhibitor,0.11185903,0.11185903,0.010101758,0.010101758,0.8985193371772766,0.08766019901363249,0.053836871757514615,0.4521604584527221
three_gene_train,sample_0066,spots,cross_repress,0.086515084,0.086515084,0.0012830129,0.0012830128,0.4140222370624542,0.09414703878868821,0.18543240550731632,0.25164469914040116
three_gene_train,sample_0067,spots,substrate_depl,0.13355127,0.13355128,0.0077055106,0.0077055097,0.657283365726471,0.17602238894785244,0.2370540401315681,0.25164469914040116
three_gene_train,sample_0068,spots,selfinhib,0.29569906,0.29569906,0.053176552,0.05317655,0.7798482775688171,0.36611563674587044,0.6128308384727841,0.3218252148997135
three_gene_train,sample_0069,labyrinth,substrate_depl,0.15963545,0.15963547,0.014884675,0.014884676,0.7642585635185242,0.2331693159282763,0.2687703170904605,0.5824957020057308
three_gene_train,sample_0070,labyrinth,cross_repress,2.0827463,2.082746,2.6368582,2.6368582,0.7796632647514343,2.5027956834416387,0.30583560920236286,0.39200573065902583
three_gene_train,sample_0071,labyrinth,double_inhibitor,1.4152565,1.4152565,1.4559516,1.4559515,0.8525861501693726,1.925766387795012,0.36511968926764027,0.4521604584527221
three_gene_train,sample_0072,spots,double_inhibitor,0.06837542,0.06837542,0.0010119452,0.0010119451,0.4652414917945862,0.07713567176076098,0.2609799738965033,0.48223782234957024
three_gene_train,sample_0073,labyrinth,substrate_depl,0.30695853,0.30695856,0.0373802,0.0373802,0.6298556923866272,0.28099555288248634,0.2970653212703134,0.3218252148997135
three_gene_train,sample_0074,spots,cross_repress,0.06322571,0.06322571,0.00039485906,0.00039485903,0.3142876625061035,0.0647797002744564,0.025816429229816862,0.3218252148997135
three_gene_train,sample_0075,labyrinth,selfinhib,0.35860488,0.35860488,0.04663492,0.046634916,0.6021981239318848,0.47060742833305674,0.33450273682918324,0.5022893982808023
three_gene_train,sample_0076,spots,double_inhibitor,0.06100668,0.061006673,0.00097292254,0.0009729226,0.5112835168838501,0.07116522002373006,0.22127703743580618,0.3218252148997135
three_gene_train,sample_0077,labyrinth,selfinhib,0.7199919,0.719992,0.064692944,0.064692944,0.3532651364803314,0.7083707711857992,0.1512118514921395,0.3519025787965616
three_gene_train,sample_0078,spots,selfinhib,0.75835514,0.75835514,0.09794475,0.09794477,0.4126843214035034,0.786670343368137,0.14724917489385184,0.23159312320916908
three_gene_train,sample_0079,spots,double_inhibitor,0.19853386,0.19853385,0.018778546,0.018778548,0.6902341842651367,0.18286165619784445,0.31655680710276,0.3519025787965616
three_gene_train,sample_0080,labyrinth,cross_repress,1.1268826,1.1268826,0.3079376,0.3079376,0.49243929982185364,0.8334547051786344,0.5992086024628804,0.25164469914040116
three_gene_train,sample_0081,labyrinth,selfinhib,0.12772663,0.12772663,0.002216798,0.0022167978,0.3686223030090332,0.11829517611427887,0.3710916724001645,0.43210888252149
three_gene_train,sample_0082,spots,double_inhibitor,0.063168205,0.0631682,0.0024971066,0.0024971066,0.7910794019699097,0.07780298595672137,0.6622924034374875,0.5323667621776504
three_gene_train,sample_0083,spots,double_inhibitor,0.06235975,0.06235975,0.0034889767,0.003488976,0.9472063779830933,0.053299888238611016,1.0670887886014746,0.6125730659025789
